раздел,счетоводен_ред,Q1 2021 (3М),Q2 2021 (6М),Q3 2021 (9М),Q4 2021 (12М),Q1 2022 (3М),Q2 2022 (6М),Q3 2022 (9М),Q4 2022 (12М),Q1 2023 (3М),Q2 2023 (6М),Q3 2023 (9М),Q4 2023 (12М),Q1 2024 (3М),Q2 2024 (6М),Q3 2024 (9М),Q4 2024 (12М),Q1 2025 (3М),Q2 2025 (6М),Q3 2025 (9М),Q4 2025 (12М)
Пасиви,Други задължения,,4212,803,1073,911,2540,748,1133,4032,8342,6157,9099,6340,7605,7176,10841,7894,13180,10422,16907
Пасиви,Общо текущи пасиви,5829,8218,5256,4662,4234,5813,5979,7972,10459,16451,15759,16414,12949,13820,16121,24106,15996,29249,30106,46543
Пасиви,ОБЩО ПАСИВИ,8203,13346,7503,6769,6324,7755,7771,9729,12242,18255,17390,18072,14396,15415,16620,34033,25627,38755,39401,55865
Собствен капитал,Регистриран акционерен капитал,,18000,18000,18000,18000,18000,18000,18000,18000,18000,18051,18051,18051,18106,18106,18106,18106,18106,18158,18158
Собствен капитал,Неразпределена печалба,,33194,33615,39117,43303,48971,49341,54958,59951,61369,69599,83137,90430,96737,105642,123701,134386,138398,154645,168056
Собствен капитал,Законови резерви,,1800,1800,1800,1800,1800,1800,1800,2804,2804,2804,2804,3072,1930,1930,1929,1929,1934,1934,1909
Собствен капитал,Премиен резерв,,5403,5403,5403,5403,5403,5403,5403,5403,5403,5403,5403,5403,5403,5403,5403,5403,5403,5403,5403
Собствен капитал,Валутно-курсови разлики,,749,20,-41,-15,-3,395,-563,475,473,319,988,865,312,669,514,839,1556,1731,1812
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,60813,58468,63247,66902,69322,68191,72959,79016,85135,87444,95527,109610,117274,121947,131110,149035,159996,165012,181551,208138
Парични потоци,Постъпления от клиенти,15709,29620,35750,57364,15752,33013,49865,83914,26208,54269,77071,116214,35097,69397,112731,167039,45361,91473,153283,217858
Парични потоци,Плащания към доставчици,-9362,-19915,-24261,-36973,-11336,-27514,-41402,-65109,-12653,-27433,-42631,-75912,-29036,-56962,-93669,-132795,-36463,-72883,-124579,-187323
Парични потоци,"Данъци възстановени/(платени), нето",-488,-1410,-1735,-3218,-874,-2933,-3355,-4702,834,951,605,-2345,343,-955,-2333,-2105,4704,6329,8212,16468
Парични потоци,Плащания към персонал и осигуряване,-1765,-3880,-4576,-6972,-3167,-5484,-8888,-10875,-4053,-8970,-13108,-17219,-5820,-10556,-15681,-21110,-5427,-12723,-19592,-26857
Парични потоци,Нетни парични потоци от оперативна дейност,4211,3932,4742,8124,356,-3216,-4937,195,10138,16955,18765,15024,403,-1447,-2719,5427,8072,12095,13496,10384
Парични потоци,Капиталови разходи (CAPEX),-84,-133,-841,-1583,-433,-917,-1403,-2176,-584,-2199,-3008,-4765,-790,-1596,-3768,-7791,-1348,-4129,-6046,-8601
Парични потоци,Нетни парични потоци от инвестиционна дейност,-64,-121,-807,497,-473,1595,1295,492,-4540,-6674,-7443,-8066,-1791,-2916,336,-3728,-1066,-3877,-5073,-7306
Парични потоци,Изплатени дивиденти,,,-3436,-3436,,,-1719,-1719,,,-4500,-4500,0,-4379,-4590,-4590,0,0,-4603,-4603
Парични потоци,Нетни парични потоци от финансова дейност,-177,-375,-3961,-4131,-231,-1151,-3055,-3246,-128,440,-4141,-4216,-118,-4551,-5785,-5243,-1228,1407,-4523,-1714
Парични потоци,Пари в началото на периода,26050,26050,26050,26050,30541,30541,30541,30541,28148,28148,28148,28148,30778,30778,30778,30778,27353,27353,27353,27353
Парични потоци,Пари в края на периода,30020,29301,26024,30540,30193,28154,24739,28152,33549,38798,35365,30778,29224,20558,22261,27353,32712,36370,30791,26766
