раздел,счетоводен_ред,Q1 2026 (3М),Q2 2026 (6М),Q3 2026 (9М),Q4 2026 (12М)
Приходи и разходи,Приходи от продажби,33320,68264,,
Приходи и разходи,Себестойност на продажбите,-12957,-26491,,
Приходи и разходи,Брутна печалба,20363,41773,,
Приходи и разходи,Други приходи от дейността,636,1835,,
Приходи и разходи,Разходи за продажби,-3669,-9195,,
Приходи и разходи,Административни разходи,-8033,-14944,,
Приходи и разходи,Други разходи за дейността,-667,-1740,,
Приходи и разходи,Печалба от оперативна дейност (EBIT),8630,17729,,
Приходи и разходи,Финансови приходи,46,232,,
Приходи и разходи,Финансови разходи,-122,-302,,
Приходи и разходи,Дял от печалбата на асоциирани дружества,-2,-6,,
Приходи и разходи,Печалба преди данъци (EBT),8552,17653,,
Приходи и разходи,Разход за данъци,-1041,-2223,,
Приходи и разходи,Нетна печалба от продължаващи дейности,7511,15430,,
Приходи и разходи,Печалба от преустановени дейности,0,0,,
Приходи и разходи,Нетна печалба,7511,15430,,
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,235,262,,
Приходи и разходи,Общо всеобхватен доход,7746,15692,,
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",0.41,0.85,,
Активи,"Имоти, машини и съоръжения",1910,1859,,
Активи,Нематериални активи,10347,11559,,
Активи,Активи с право на ползване,5388,5214,,
Активи,Репутация,1860,1860,,
Активи,Инвестиции в асоциирани дружества,59,55,,
Активи,Активи по отсрочени данъци,1697,1697,,
Активи,Общо нетекущи активи,21261,22244,,
Активи,Материални запаси,22639,24015,,
Активи,Търговски вземания,72100,66130,,
Активи,Други вземания,4168,3515,,
Активи,Пари и парични еквиваленти,19757,31903,,
Активи,Общо текущи активи,118664,125681,,
Активи,ОБЩО АКТИВИ,139925,147925,,
Пасиви,Задължения по лизинг (дългосрочни),4729,4587,,
Пасиви,Дългосрочни задължения към персонала,250,250,,
Пасиви,Общо нетекущи пасиви,5142,5240,,
Пасиви,Банкови заеми,3302,2984,,
Пасиви,Задължения по лизинг (краткосрочни),774,745,,
Пасиви,Търговски задължения,9799,8991,,
Пасиви,Задължения към персонала и осигуряването,1705,1701,,
Пасиви,Други задължения,4428,7903,,
Пасиви,Общо текущи пасиви,20008,22324,,
Пасиви,ОБЩО ПАСИВИ,25150,27564,,
Собствен капитал,Регистриран акционерен капитал,9261,9261,,
Собствен капитал,Неразпределена печалба,93277,98801,,
Собствен капитал,Законови резерви,989,992,,
Собствен капитал,Премиен резерв,2762,2762,,
Собствен капитал,Валутно-курсови разлики,1155,1171,,
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,114775,120361,,
Парични потоци,Постъпления от клиенти,33806,73546,,
Парични потоци,Плащания към доставчици,-15404,-36008,,
Парични потоци,"Данъци възстановени/(платени), нето",-5463,-3993,,
Парични потоци,Плащания към персонал и осигуряване,-4535,-8294,,
Парични потоци,Нетни парични потоци от оперативна дейност,8265,22302,,
Парични потоци,Капиталови разходи (CAPEX),-1889,-3609,,
Парични потоци,Нетни парични потоци от инвестиционна дейност,-1904,-3226,,
Парични потоци,Изплатени дивиденти,0,0,,
Парични потоци,Нетни парични потоци от финансова дейност,-338,-999,,
Парични потоци,Пари в началото на периода,13685,13685,,
Парични потоци,Пари в края на периода,19757,31903,,
