раздел,счетоводен_ред,Q1 2021 (3М),Q2 2021 (6М),Q3 2021 (9М),Q4 2021 (12М)
Приходи и разходи,Приходи от продажби,14993,28329,38521,59503
Приходи и разходи,Себестойност на продажбите,,-13922,-18444,-28566
Приходи и разходи,Брутна печалба,,14407,20077,30937
Приходи и разходи,Други приходи от дейността,,451,555,1250
Приходи и разходи,Разходи за продажби,,-85,-1830,-567
Приходи и разходи,Административни разходи,,-6672,-7368,-11595
Приходи и разходи,Други разходи за дейността,,-253,-221,-2023
Приходи и разходи,Печалба от оперативна дейност (EBIT),4584,7848,11213,18002
Приходи и разходи,Финансови приходи,0,0,250,495
Приходи и разходи,Финансови разходи,0,-36,-104,-221
Приходи и разходи,Дял от печалбата на асоциирани дружества,0,0,0,32
Приходи и разходи,Печалба преди данъци (EBT),4584,7812,11359,18308
Приходи и разходи,Разход за данъци,-536,-957,-1313,-2760
Приходи и разходи,Нетна печалба от продължаващи дейности,4048,7417,10046,15548
Приходи и разходи,Печалба от преустановени дейности,0,-562,0,0
Приходи и разходи,Нетна печалба,4048,6855,10046,15548
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,,-1523,-1874,-3614
Приходи и разходи,Общо всеобхватен доход,,5332,8172,11934
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",,0.381,0.569,0.864
Активи,"Имоти, машини и съоръжения",,4828,4930,4802
Активи,Нематериални активи,,3884,4016,3110
Активи,Активи с право на ползване,,24,120,107
Активи,Репутация,,2801,160,160
Активи,Инвестиции в асоциирани дружества,,8,8,40
Активи,Активи по отсрочени данъци,,481,481,72
Активи,Общо нетекущи активи,18133,16600,16312,12969
Активи,Материални запаси,,4481,3266,6656
Активи,Търговски вземания,,17247,23578,21204
Активи,Други вземания,,1853,1500,2068
Активи,Пари и парични еквиваленти,30020,29301,26024,30540
Активи,Общо текущи активи,50883,52960,54438,60702
Активи,ОБЩО АКТИВИ,69016,71814,70750,73671
Пасиви,Задължения по лизинг (дългосрочни),,25,111,100
Пасиви,Дългосрочни задължения към персонала,,,,
Пасиви,Общо нетекущи пасиви,2374,2288,2247,2107
Пасиви,Банкови заеми,,505,544,571
Пасиви,Задължения по лизинг (краткосрочни),,53,50,39
Пасиви,Търговски задължения,,1457,1851,1314
Пасиви,Задължения към персонала и осигуряването,,247,251,289
Пасиви,Други задължения,,4212,803,1073
Пасиви,Общо текущи пасиви,5829,8218,5256,4662
Пасиви,ОБЩО ПАСИВИ,8203,13346,7503,6769
Собствен капитал,Регистриран акционерен капитал,,18000,18000,18000
Собствен капитал,Неразпределена печалба,,33194,33615,39117
Собствен капитал,Законови резерви,,1800,1800,1800
Собствен капитал,Премиен резерв,,5403,5403,5403
Собствен капитал,Валутно-курсови разлики,,749,20,-41
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,60813,58468,63247,66902
Парични потоци,Постъпления от клиенти,15709,29620,35750,57364
Парични потоци,Плащания към доставчици,-9362,-19915,-24261,-36973
Парични потоци,"Данъци възстановени/(платени), нето",-488,-1410,-1735,-3218
Парични потоци,Плащания към персонал и осигуряване,-1765,-3880,-4576,-6972
Парични потоци,Нетни парични потоци от оперативна дейност,4211,3932,4742,8124
Парични потоци,Капиталови разходи (CAPEX),-84,-133,-841,-1583
Парични потоци,Нетни парични потоци от инвестиционна дейност,-64,-121,-807,497
Парични потоци,Изплатени дивиденти,,,-3436,-3436
Парични потоци,Нетни парични потоци от финансова дейност,-177,-375,-3961,-4131
Парични потоци,Пари в началото на периода,26050,26050,26050,26050
Парични потоци,Пари в края на периода,30020,29301,26024,30540
