раздел,счетоводен_ред,Q1 2022 (3М),Q2 2022 (6М),Q3 2022 (9М),Q4 2022 (12М)
Приходи и разходи,Приходи от продажби,17150,35753,57829,93234
Приходи и разходи,Себестойност на продажбите,-7883,-18511,-28901,-46448
Приходи и разходи,Брутна печалба,9267,17242,28928,46786
Приходи и разходи,Други приходи от дейността,441,1600,2718,860
Приходи и разходи,Разходи за продажби,-733,-1101,-2078,-3900
Приходи и разходи,Административни разходи,-4289,-8966,-13962,-20505
Приходи и разходи,Други разходи за дейността,-107,-1202,-1829,-2849
Приходи и разходи,Печалба от оперативна дейност (EBIT),4579,7573,13777,20392
Приходи и разходи,Финансови приходи,0,0,0,0
Приходи и разходи,Финансови разходи,-87,-151,-236,-279
Приходи и разходи,Дял от печалбата на асоциирани дружества,6,38,48,118
Приходи и разходи,Печалба преди данъци (EBT),4498,7460,13589,20231
Приходи и разходи,Разход за данъци,-589,-1122,-1842,-2797
Приходи и разходи,Нетна печалба от продължаващи дейности,3909,6338,11747,17434
Приходи и разходи,Печалба от преустановени дейности,0,0,0,0
Приходи и разходи,Нетна печалба,3909,6338,11747,17434
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,-159,-1134,-1633,-1184
Приходи и разходи,Общо всеобхватен доход,3750,5204,10114,16250
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",0.217,0.352,0.65,0.97
Активи,"Имоти, машини и съоръжения",4794,4737,4692,4653
Активи,Нематериални активи,3325,3581,3686,4220
Активи,Активи с право на ползване,254,241,320,296
Активи,Репутация,160,160,160,160
Активи,Инвестиции в асоциирани дружества,46,78,88,157
Активи,Активи по отсрочени данъци,72,57,57,292
Активи,Общо нетекущи активи,13124,11143,10788,11635
Активи,Материални запаси,8580,11375,17435,23002
Активи,Търговски вземания,21665,21900,23978,21647
Активи,Други вземания,1973,3258,3428,3622
Активи,Пари и парични еквиваленти,30193,28154,24739,28152
Активи,Общо текущи активи,62522,64803,69942,77110
Активи,ОБЩО АКТИВИ,75646,75946,80730,88745
Пасиви,Задължения по лизинг (дългосрочни),211,194,173,157
Пасиви,Дългосрочни задължения към персонала,,,,112
Пасиви,Общо нетекущи пасиви,2090,1942,1792,1757
Пасиви,Банкови заеми,594,623,670,668
Пасиви,Задължения по лизинг (краткосрочни),70,71,74,161
Пасиви,Търговски задължения,853,493,1455,1891
Пасиви,Задължения към персонала и осигуряването,286,326,732,2045
Пасиви,Други задължения,911,2540,748,1133
Пасиви,Общо текущи пасиви,4234,5813,5979,7972
Пасиви,ОБЩО ПАСИВИ,6324,7755,7771,9729
Собствен капитал,Регистриран акционерен капитал,18000,18000,18000,18000
Собствен капитал,Неразпределена печалба,43303,48971,49341,54958
Собствен капитал,Законови резерви,1800,1800,1800,1800
Собствен капитал,Премиен резерв,5403,5403,5403,5403
Собствен капитал,Валутно-курсови разлики,-15,-3,395,-563
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,69322,68191,72959,79016
Парични потоци,Постъпления от клиенти,15752,33013,49865,83914
Парични потоци,Плащания към доставчици,-11336,-27514,-41402,-65109
Парични потоци,"Данъци възстановени/(платени), нето",-874,-2933,-3355,-4702
Парични потоци,Плащания към персонал и осигуряване,-3167,-5484,-8888,-10875
Парични потоци,Нетни парични потоци от оперативна дейност,356,-3216,-4937,195
Парични потоци,Капиталови разходи (CAPEX),-433,-917,-1403,-2176
Парични потоци,Нетни парични потоци от инвестиционна дейност,-473,1595,1295,492
Парични потоци,Изплатени дивиденти,,,-1719,-1719
Парични потоци,Нетни парични потоци от финансова дейност,-231,-1151,-3055,-3246
Парични потоци,Пари в началото на периода,30541,30541,30541,30541
Парични потоци,Пари в края на периода,30193,28154,24739,28152
