раздел,счетоводен_ред,Q1 2023 (3М),Q2 2023 (6М),Q3 2023 (9М),Q4 2023 (12М)
Приходи и разходи,Приходи от продажби,27608,54785,86324,146542
Приходи и разходи,Себестойност на продажбите,-12641,-24199,-36957,-62852
Приходи и разходи,Брутна печалба,14967,30586,49367,83690
Приходи и разходи,Други приходи от дейността,41,141,871,936
Приходи и разходи,Разходи за продажби,-734,-2740,-3624,-10172
Приходи и разходи,Административни разходи,-6829,-14014,-22857,-27347
Приходи и разходи,Други разходи за дейността,-221,-350,-527,-6462
Приходи и разходи,Печалба от оперативна дейност (EBIT),7224,13623,23230,37382
Приходи и разходи,Финансови приходи,0,10,61,181
Приходи и разходи,Финансови разходи,-241,-307,-58,-113
Приходи и разходи,Дял от печалбата на асоциирани дружества,34,50,58,49
Приходи и разходи,Печалба преди данъци (EBT),7017,13376,23291,37499
Приходи и разходи,Разход за данъци,-1095,-1949,-3840,-4579
Приходи и разходи,Нетна печалба от продължаващи дейности,5922,11427,19451,32920
Приходи и разходи,Печалба от преустановени дейности,0,0,0,0
Приходи и разходи,Нетна печалба,5922,11427,19451,32920
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,471,713,392,1009
Приходи и разходи,Общо всеобхватен доход,6393,12140,19843,33929
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",0.33,0.64,1.08,1.83
Активи,"Имоти, машини и съоръжения",5238,5220,5159,5373
Активи,Нематериални активи,4701,5381,5985,7547
Активи,Активи с право на ползване,270,526,473,422
Активи,Репутация,4117,4117,4117,3514
Активи,Инвестиции в асоциирани дружества,192,208,412,403
Активи,Активи по отсрочени данъци,357,348,348,917
Активи,Общо нетекущи активи,16767,18239,18702,19203
Активи,Материални запаси,20892,17761,19466,18273
Активи,Търговски вземания,24150,27434,34280,51620
Активи,Други вземания,1522,2424,4555,7258
Активи,Пари и парични еквиваленти,33549,38798,35365,30778
Активи,Общо текущи активи,80610,87460,94215,108479
Активи,ОБЩО АКТИВИ,97377,105699,112917,127682
Пасиви,Задължения по лизинг (дългосрочни),312,335,423,369
Пасиви,Дългосрочни задължения към персонала,112,112,112,270
Пасиви,Общо нетекущи пасиви,1783,1804,1631,1658
Пасиви,Банкови заеми,725,559,799,670
Пасиви,Задължения по лизинг (краткосрочни),152,388,243,216
Пасиви,Търговски задължения,4042,5694,6874,4118
Пасиви,Задължения към персонала и осигуряването,1508,1468,1686,2311
Пасиви,Други задължения,4032,8342,6157,9099
Пасиви,Общо текущи пасиви,10459,16451,15759,16414
Пасиви,ОБЩО ПАСИВИ,12242,18255,17390,18072
Собствен капитал,Регистриран акционерен капитал,18000,18000,18051,18051
Собствен капитал,Неразпределена печалба,59951,61369,69599,83137
Собствен капитал,Законови резерви,2804,2804,2804,2804
Собствен капитал,Премиен резерв,5403,5403,5403,5403
Собствен капитал,Валутно-курсови разлики,475,473,319,988
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,85135,87444,95527,109610
Парични потоци,Постъпления от клиенти,26208,54269,77071,116214
Парични потоци,Плащания към доставчици,-12653,-27433,-42631,-75912
Парични потоци,"Данъци възстановени/(платени), нето",834,951,605,-2345
Парични потоци,Плащания към персонал и осигуряване,-4053,-8970,-13108,-17219
Парични потоци,Нетни парични потоци от оперативна дейност,10138,16955,18765,15024
Парични потоци,Капиталови разходи (CAPEX),-584,-2199,-3008,-4765
Парични потоци,Нетни парични потоци от инвестиционна дейност,-4540,-6674,-7443,-8066
Парични потоци,Изплатени дивиденти,,,-4500,-4500
Парични потоци,Нетни парични потоци от финансова дейност,-128,440,-4141,-4216
Парични потоци,Пари в началото на периода,28148,28148,28148,28148
Парични потоци,Пари в края на периода,33549,38798,35365,30778
