раздел,счетоводен_ред,Q1 2023 (3М),Q2 2023 (6М),Q3 2023 (9М),Q4 2023 (12М)
Приходи и разходи,Приходи от продажби,121296,231624,351519,513387
Приходи и разходи,Себестойност на продажбите,-52920,-99944,-156560,-234344
Приходи и разходи,Брутна печалба,68376,131680,194959,279043
Приходи и разходи,Други приходи от дейността,23156,47304,68203,96566
Приходи и разходи,Разходи за продажби,-21167,-44550,-62711,-87463
Приходи и разходи,Административни разходи,-39808,-81025,-123920,-163979
Приходи и разходи,Други разходи за дейността,-14457,-29361,-46336,-64647
Приходи и разходи,Печалба от оперативна дейност (EBIT),16100,24047,30195,59520
Приходи и разходи,Финансови приходи,0,0,0,0
Приходи и разходи,Финансови разходи,-298,-1007,-1503,-2126
Приходи и разходи,Дял от печалбата на асоциирани дружества,0,0,0,0
Приходи и разходи,Печалба преди данъци (EBT),15802,23040,28693,57394
Приходи и разходи,Разход за данъци,-3358,-4959,-6231,-12435
Приходи и разходи,Нетна печалба от продължаващи дейности,12443,18081,22461,44959
Приходи и разходи,Печалба от преустановени дейности,0,0,0,0
Приходи и разходи,Нетна печалба,12443,18081,22461,44959
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,-259,-74,-45,-414
Приходи и разходи,Общо всеобхватен доход,12184,18007,22416,44545
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",1.16,1.69,2.07,4.11
Активи,"Имоти, машини и съоръжения",32936,34138,34714,33599
Активи,Нематериални активи,178883,195585,204683,218497
Активи,Активи с право на ползване,59407,56218,53241,52582
Активи,Репутация,0,0,0,0
Активи,Инвестиции в асоциирани дружества,0,0,0,0
Активи,Активи по отсрочени данъци,0,0,0,0
Активи,Общо нетекущи активи,273388,288230,294517,306075
Активи,Материални запаси,167418,176278,175937,159106
Активи,Търговски вземания,88481,95674,138032,137371
Активи,Други вземания,,,,
Активи,Пари и парични еквиваленти,23470,26519,10669,21365
Активи,Общо текущи активи,279369,298472,324639,317842
Активи,ОБЩО АКТИВИ,552757,586702,619156,623917
Пасиви,Задължения по лизинг (дългосрочни),34493,32074,29605,28867
Пасиви,Дългосрочни задължения към персонала,,,,
Пасиви,Общо нетекущи пасиви,34493,32074,29605,28867
Пасиви,Банкови заеми,,,,
Пасиви,Задължения по лизинг (краткосрочни),,,,
Пасиви,Търговски задължения,,,,
Пасиви,Задължения към персонала и осигуряването,,,,
Пасиви,Други задължения,,,,
Пасиви,Общо текущи пасиви,148527,138526,166641,150033
Пасиви,ОБЩО ПАСИВИ,183020,170600,196246,178900
Собствен капитал,Регистриран акционерен капитал,1677,1677,1677,1677
Собствен капитал,Неразпределена печалба,,,,
Собствен капитал,Законови резерви,,,,
Собствен капитал,Премиен резерв,,,,
Собствен капитал,Валутно-курсови разлики,,,,
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,369737,416101,422910,445017
Парични потоци,Постъпления от клиенти,,,,
Парични потоци,Плащания към доставчици,,,,
Парични потоци,"Данъци възстановени/(платени), нето",,,,
Парични потоци,Плащания към персонал и осигуряване,,,,
Парични потоци,Нетни парични потоци от оперативна дейност,14045,7326,-9713,51478
Парични потоци,Капиталови разходи (CAPEX),-27890,-53305,-71856,-93929
Парични потоци,Нетни парични потоци от инвестиционна дейност,-27886,-53301,-71320,-93439
Парични потоци,Изплатени дивиденти,0,0,0,0
Парични потоци,Нетни парични потоци от финансова дейност,-5621,29205,48268,20063
Парични потоци,Пари в началото на периода,43012,43012,43012,43012
Парични потоци,Пари в края на периода,23470,26519,10669,21365
